Aguanueva,Concepcion,Grunidora,Loreto,Ojocaliente,Pinos,SanPedro,VillaDeCos,VillaGarcia,,Cluster I Semi-arid,,Excamé,Villita,Téul,Tlaltenango,,Cluster II Canyons,,,Bufa,Calera,Cazadero,Chalchihuites,Sauz,Fresnillo,Jerez,Jiménez,Chique,Santa Rosa,Trancoso,Villanueva,Zacatecas,,Cluster III Highlands,,,Florida,Monte Escobedo,Platanito,Juchipila,,Cluster IV Mountains
0.105712233,3.048666126,1.237290835,0.198942061,1.672561648,-0.914434499,0.581445146,1.383381871,-0.857723687,,0.7173,,0.565269026,2.035635637,-0.900028023,-1.403018751,,0.0745,,,-0.962672867,1.408102339,0.844722965,1.088328752,0.108995168,0.648563481,0.871147759,-0.418131215,0.245169425,0.001163343,0.933590179,0.804168295,1.277497625,,0.5270,,,1.333483055,1.246342702,1.338453459,1.338453459,,1.3142
0.413487598,2.878949754,1.172582475,-0.129512003,1.161488941,-1.350141839,0.364696718,1.188983984,-0.94510831,,0.5284,,0.470573468,1.114952125,-0.790089623,-1.849924364,,-0.2636,,,-0.813927081,1.268358816,0.875113909,1.064297503,0.043236548,0.320735592,0.88999837,-0.501795868,0.291179133,-0.720355914,0.768096246,0.908003707,0.952237127,,0.4112,,,1.210220073,1.158614536,1.429774255,1.429774255,,1.3071
0.41656241,2.921231999,1.187957861,-0.248184199,1.127234138,-1.355988178,0.331955388,1.148629707,-1.205287104,,0.4805,,0.634625303,1.143515473,-0.816173484,-1.936346072,,-0.2436,,,-0.850491405,1.303028477,0.839270436,1.110971387,-0.001388723,0.407664647,0.936206343,-0.539329184,0.253372555,-0.816469211,0.757907518,0.701633566,0.869062871,,0.3824,,,1.393661336,1.344050099,1.371815549,1.371815549,,1.3703
0.560155806,2.890413482,1.359033876,-0.126967143,1.178153147,-1.37133416,0.580821701,1.09092202,-1.272135457,,0.5432,,0.798788465,1.274660937,-0.650865667,-2.000628518,,-0.1445,,,-0.702879395,1.540025194,0.934858529,1.235348437,0.366956448,0.431311572,1.166787078,-0.809706258,0.403206448,-0.501319355,0.944108858,0.872548402,1.108458251,,0.5377,,,1.392027617,1.505528811,1.371468544,1.371468544,,1.4101
0.616474087,2.756839733,1.561965962,-0.019346537,1.185064315,-1.30565581,0.681125379,1.01174059,-1.171934854,,0.5907,,0.839366871,1.254308933,-0.757387127,-1.949943471,,-0.1534,,,-0.678705111,1.563916883,0.938796622,1.213698988,0.267642588,0.438209897,1.154129963,-0.89477259,0.431820079,-0.503098771,0.984926573,0.937893676,1.120748856,,0.5366,,,1.441631887,1.507739288,1.35130332,1.35130332,,1.4130
0.585996472,2.759910023,1.361367099,-0.173918743,1.138771841,-1.565139108,0.610940255,0.92868508,-1.255320163,,0.4879,,0.644826024,1.14188562,-1.002442242,-2.176844137,,-0.3481,,,-0.678435665,1.393418964,0.890994981,1.258457027,0.288061892,0.392343985,1.122800492,-0.883258398,0.158171889,-0.507208515,1.017643276,0.894916742,1.174499093,,0.5017,,,1.312309736,1.51015744,1.221172993,1.221172993,,1.3162
0.190703253,2.215344895,1.066762134,-1.022185114,0.735785225,-2.559764868,0.21094281,0.395244631,-1.256874766,,-0.0027,,0.104161574,0.574012733,-1.158631167,-3.096560962,,-0.8943,,,-0.893292192,0.864641506,0.459907622,1.05030521,-0.227458104,-0.285568253,0.361449614,-0.872111485,-0.636333654,-0.513160311,0.387569837,0.300321352,0.718571142,,0.0550,,,0.706022003,0.846681754,0.448151452,0.448151452,,0.6123
0.147321951,1.691643011,0.929384029,-0.995090149,0.661438378,-2.645180057,0.045046644,0.293241517,-1.245015597,,-0.1241,,0.082476856,0.562092386,-1.137461196,-3.11878403,,-0.9029,,,-0.90184753,0.800535219,0.387050602,0.939450372,-0.291989147,-0.387495955,0.363722157,-0.856346919,-0.631453027,-0.536019026,0.332720967,0.277704417,0.727057015,,0.0172,,,0.694107334,0.828141672,0.449077561,0.449077561,,0.6051
0.115628775,1.455805154,0.988197112,-1.042772743,0.588095623,-2.69693428,0.09094973,0.154955053,-1.369610348,,-0.1906,,-0.013338922,0.480993827,-1.129215209,-3.167676476,,-0.9573,,,-0.91226588,0.732336054,0.390121193,0.958154021,-0.383041468,-0.438532342,0.259088457,-0.885698628,-0.697106551,-0.627039111,0.327643761,0.206811493,0.824889183,,-0.0188,,,0.647116729,0.782381492,0.431135077,0.431135077,,0.5729
0.067866369,1.303192267,0.848166568,-1.121031543,0.364530863,-2.005691602,-0.289882908,0.213292985,-1.270527825,,-0.2100,,0.081617905,0.588230771,-1.0076864,-3.047124567,,-0.8462,,,-0.545814422,0.542088738,0.296676514,1.087830889,-0.358771772,-0.579066484,0.1006352,-0.762373041,-1.534895299,-0.691228164,-0.278233327,0.106734001,0.34008446,,-0.1751,,,0.326826169,0.662118025,0.110863161,0.110863161,,0.3027
